Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Canada Inc.
Statement,Data,BrokerAddress,"1800 McGill College Avenue, Suite 2106, Montreal, Quebec, Canada  H3A 3J6"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2024 - February 12, 2024"
Statement,Data,WhenGenerated,"2024-02-13, 14:21:47 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Gene R Neufeld
Account Information,Data,Account,U11166407
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Tax-Free Savings Account
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,CAD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,2495.2583,2288.2083,0,2288.2083,-207.05
Net Asset Value,Data,Stock,2594.88,2969.79,0,2969.79,374.91
Net Asset Value,Data,Dividend Accruals,18.55,0,0,0,-18.55
Net Asset Value,Data,Total,5108.6883,5257.9983,0,5257.9983,149.31
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,1.923307893%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,5108.6883
Change in NAV,Data,Mark-to-Market,100.31
Change in NAV,Data,Deposits & Withdrawals,50
Change in NAV,Data,Dividends,18.55
Change in NAV,Data,Change in Dividend Accruals,-18.55
Change in NAV,Data,Commissions,-1
Change in NAV,Data,Ending Value,5257.9983
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,VGRO,12,12,31.8400,32.5700,8.76,0,0,2.52,11.28,
Mark-to-Market Performance Summary,Data,Stocks,XEQT,80,90,27.6600,28.6550,91.95,-0.4,-1,16.03,106.58,
Mark-to-Market Performance Summary,Data,Total,,,,,,100.71,-0.4,-1,18.55,117.86,
Mark-to-Market Performance Summary,Data,Forex,CAD,2495.2583,2288.2083,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,100.71,-0.4,-1,18.55,117.86,
